Indicator,Request URL
Engulfing Pattern,https://api.taapi.io/engulfing?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Evening Doji Star,https://api.taapi.io/eveningdojistar?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Evening Star,https://api.taapi.io/eveningstar?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Fibonacci Retracement,https://api.taapi.io/fibonacciretracement?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Fisher Transform,https://api.taapi.io/fisher?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}&period=50
Vector Floor,https://api.taapi.io/floor?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Forecast Oscillator,https://api.taapi.io/fosc?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}&period=50
Up/Down-gap side-by-side white lines,https://api.taapi.io/gapsidesidewhite?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Gravestone Doji,https://api.taapi.io/gravestonedoji?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Hammer,https://api.taapi.io/hammer?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Hanging Man,https://api.taapi.io/hangingman?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Harami Pattern,https://api.taapi.io/harami?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Harami Cross Pattern,https://api.taapi.io/haramicross?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
High-Wave Candle,https://api.taapi.io/highwave?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Hikkake Pattern,https://api.taapi.io/hikkake?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Modified Hikkake Pattern,https://api.taapi.io/hikkakemod?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Hull Moving Average,https://api.taapi.io/hma?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}&period=50
Homing Pigeon,https://api.taapi.io/homingpigeon?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Hilbert Transform – Dominant Cycle Period,https://api.taapi.io/ht_dcperiod?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Hilbert Transform – Dominant Cycle Phase,https://api.taapi.io/ht_dcphase?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Hilbert Transform – Phasor Components,https://api.taapi.io/ht_phasor?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Hilbert Transform – SineWave,https://api.taapi.io/ht_sine?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Hilbert Transform – Instantaneous Trendline,https://api.taapi.io/ht_trendline?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Hilbert Transform – Trend vs Cycle Mode,https://api.taapi.io/ht_trendmode?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Ichimoku Cloud,https://api.taapi.io/ichimoku?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Identical Three Crows,https://api.taapi.io/identical3crows?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
In-Neck Pattern,https://api.taapi.io/inneck?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Inverted Hammer,https://api.taapi.io/invertedhammer?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Kaufman Adaptive Moving Average,https://api.taapi.io/kama?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
KDJ,https://api.taapi.io/kdj?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Kicking,https://api.taapi.io/kicking?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Kicking – bull/bear determined by the longer marubozu,https://api.taapi.io/kickingbylength?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Klinger Volume Oscillator,https://api.taapi.io/kvo?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}&short_period=9&long_period=30
Ladder Bottom,https://api.taapi.io/ladderbottom?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Lantern,https://api.taapi.io/lantern?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Lanterns,https://api.taapi.io/lanterns?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Linear Regression,https://api.taapi.io/linearreg?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Linear Regression Angle,https://api.taapi.io/linearreg_angle?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Linear Regression Intercept,https://api.taapi.io/linearreg_intercept?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Linear Regression Slope,https://api.taapi.io/linearreg_slope?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Vector Log Natural,https://api.taapi.io/ln?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Vector Log10,https://api.taapi.io/log10?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
Long Legged Doji,https://api.taapi.io/longleggeddoji?secret={api_key}&exchange=binance&symbol={symbol}/USDT&interval={interval}
